FIPS,Tract,County,State,Total,Under 18,18 to 64,Over 64,White,Black,Hispanic,Asian,Other_Races,Below 9th grade,High School,College,Advanced Degree
36059300100,Census Tract 3001,Nassau County,New York,5593,0.27427141069193633,0.5576613624173073,0.16806722689075632,0.8726980153763633,0.001072769533345253,0.058644734489540495,0.04380475594493116,0.023779724655819776,0.024606299212598427,0.9452099737532809,0.5436351706036745,0.2690288713910761
36059300300,Census Tract 3003,Nassau County,New York,4477,0.34688407415680145,0.44248380612016974,0.2106321197230288,0.6624972079517534,0.024793388429752067,0.1594817958454322,0.1362519544337726,0.016975653339289704,0.0717634331049405,0.8662098809953119,0.5124413992066355,0.2574828705373242
36059300400,Census Tract 3004,Nassau County,New York,6583,0.36503114081725657,0.4762266443870576,0.15874221479568587,0.7458605499012608,0.0,0.09205529393893362,0.09965061522102385,0.06243354093878171,0.006024096385542169,0.9235201676270298,0.6388161341016239,0.30880041906757466
36059300500,Census Tract 3005,Nassau County,New York,6180,0.294336569579288,0.5080906148867314,0.1975728155339806,0.8090614886731392,0.0,0.022815533980582524,0.1203883495145631,0.04773462783171521,0.01191683569979716,0.9467545638945233,0.7071501014198783,0.40466531440162273
36059300600,Census Tract 3006,Nassau County,New York,6713,0.22702219573960972,0.5088633993743483,0.264114404886042,0.5836436764486816,0.0034261879934455535,0.019514375093102936,0.3669000446894086,0.02651571577536124,0.013052631578947368,0.924,0.720421052631579,0.391578947368421
36059300700,Census Tract 3007,Nassau County,New York,6510,0.1356374807987711,0.6104454685099846,0.25391705069124426,0.6254992319508449,0.012442396313364055,0.14101382488479264,0.19062980030721965,0.030414746543778803,0.012909260991580917,0.9492984097287184,0.6944808231992516,0.3391955098222638
36059300800,Census Tract 3008,Nassau County,New York,4171,0.17837449052984897,0.6588348117957324,0.16279069767441862,0.48717333972668425,0.019659554063773677,0.10668904339486933,0.35578997842244064,0.030688084392232078,0.07138263665594856,0.9054662379421222,0.572347266881029,0.3045016077170418
36059300901,Census Tract 3009.01,Nassau County,New York,2825,0.24814159292035398,0.5030088495575221,0.2488495575221239,0.37309734513274334,0.029026548672566373,0.05699115044247788,0.5316814159292036,0.009203539823008849,0.07531380753138076,0.8880753138075314,0.6140167364016736,0.40794979079497906
36059300902,Census Tract 3009.02,Nassau County,New York,5425,0.1625806451612903,0.47797235023041473,0.35944700460829493,0.6097695852534563,0.009769585253456222,0.06930875576036867,0.30046082949308756,0.010691244239631336,0.03591855410661176,0.95973461450469,0.7769389155799589,0.4250743536948067
36059301000,Census Tract 3010,Nassau County,New York,5432,0.27374815905743743,0.45618556701030927,0.2700662739322533,0.8153534609720177,0.008100147275405008,0.06001472754050074,0.08155375552282769,0.034977908689248896,0.017954298150163223,0.9589227421109902,0.8027747551686616,0.39499455930359084
36059301101,Census Tract 3011.01,Nassau County,New York,6929,0.19324577861163228,0.6363111560109684,0.17044306537739934,0.5471207966517535,0.015298022802713234,0.3251551450425747,0.10073603694616828,0.011689998556790301,0.04599345870809485,0.9206868356500408,0.48242027800490594,0.2097301717089125
36059301102,Census Tract 3011.02,Nassau County,New York,4950,0.25555555555555554,0.4953535353535354,0.24909090909090909,0.7735353535353535,0.025656565656565655,0.038181818181818185,0.15434343434343434,0.008282828282828282,0.007219174126479931,0.9719896043892579,0.6869766098758302,0.37019924920589087
36059301200,Census Tract 3012,Nassau County,New York,6330,0.23917851500789888,0.5345971563981042,0.22622432859399685,0.8009478672985783,0.0034755134281200632,0.08530805687203792,0.08309636650868879,0.027172195892575038,0.005902383654937571,0.9616345062429058,0.7822928490351873,0.4206583427922815
36059301300,Census Tract 3013,Nassau County,New York,5141,0.2534526356739934,0.5917136743824158,0.15483368994359073,0.588990468780393,0.029371717564676134,0.18303831939311418,0.15269402839914414,0.045905465862672634,0.05587989991659716,0.8565471226021685,0.5865999443981096,0.24854045037531275
36059301400,Census Tract 3014,Nassau County,New York,2181,0.31636863823933975,0.5414947271893626,0.14213663457129758,0.759743237047226,0.0,0.14121962402567628,0.06556625401192114,0.033470884915176524,0.021413276231263382,0.974304068522484,0.8137044967880086,0.4211277658815132
36059301500,Census Tract 3015,Nassau County,New York,2968,0.27628032345013476,0.5535714285714286,0.17014824797843667,0.8103099730458221,0.0010107816711590297,0.0272911051212938,0.11287061994609164,0.04851752021563342,0.002551020408163265,0.9821428571428571,0.8341836734693877,0.4270408163265306
36059301600,Census Tract 3016,Nassau County,New York,4787,0.2542302068101107,0.6108209734698141,0.1349488197200752,0.7108836432003343,0.016711928138709004,0.10194276164612492,0.12638395654898685,0.044077710465844994,0.009156930849384275,0.9681086201452479,0.8013893274392169,0.49352699715819387
36059301700,Census Tract 3017,Nassau County,New York,2792,0.3248567335243553,0.5444126074498568,0.13073065902578795,0.6740687679083095,0.03617478510028653,0.07987106017191978,0.18517191977077363,0.0247134670487106,0.005633802816901409,0.9847887323943662,0.900281690140845,0.45577464788732397
36059301800,Census Tract 3018,Nassau County,New York,4654,0.19832402234636873,0.6132359260850881,0.18844005156854318,0.4071766222604211,0.26342930812204557,0.11001289213579717,0.175118177911474,0.04426299957026214,0.0281908302354399,0.8884758364312267,0.5102230483271375,0.24101610904584883
36059301900,Census Tract 3019,Nassau County,New York,3066,0.29615133724722764,0.5280495759947815,0.17579908675799086,0.6356816699282453,0.0,0.07534246575342465,0.24070450097847357,0.04827136333985649,0.0,0.983201581027668,0.7850790513833992,0.4407114624505929
36059302000,Census Tract 3020,Nassau County,New York,5182,0.16750289463527596,0.5349285989965264,0.2975685063681976,0.706291007333076,0.009455808568120417,0.06464685449633346,0.1788884600540332,0.0407178695484369,0.005962732919254659,0.9798757763975156,0.7840993788819876,0.422360248447205
36059302101,Census Tract 3021.01,Nassau County,New York,4470,0.2272930648769575,0.6026845637583893,0.17002237136465326,0.776510067114094,0.0,0.022595078299776285,0.19149888143176733,0.009395973154362415,0.008204791598293404,0.9747292418772563,0.7161142106990482,0.37216934689858877
36059302102,Census Tract 3021.02,Nassau County,New York,3496,0.2651601830663616,0.5271739130434783,0.20766590389016018,0.8312356979405034,0.0002860411899313501,0.07093821510297482,0.09496567505720824,0.002574370709382151,0.019906819144430325,0.9661160525201186,0.8496399830580262,0.5040237187632359
36059302200,Census Tract 3022,Nassau County,New York,4049,0.2835267967399358,0.5994072610521116,0.11706594220795258,0.5092615460607557,0.07829093603358854,0.12916769572734008,0.27414176339837,0.009138058779945666,0.017517136329017517,0.92003046458492,0.6138613861386139,0.27113480578827115
