FIPS,County,State,Met_Breast_Screen,Met_Cervical_Screen,Met_Colon_Screen,Currently_Smoke,BMI_Obese,Physically_Inactive,Binge_Drinking,Sleep_Debt,Cancer_Prevalence,Bad_Health,Poor_Physical,Poor_Mental,Depression,Diabetes_DX,High_BP,BP_Medicine,CHD,Had_Stroke,Kidney_Disease,Asthma,COPD,No_Teeth,Recent_Checkup,Recent_Dentist
36059414301,Nassau County,New York,76.8,85.7,70.1,13.8,32.9,31.6,14.9,36.7,6.2,17.8,11.4,14.2,15.0,12.2,30.9,77.8,5.7,3.3,3.3,10.2,5.9,15.2,78.8,62.1
36059414303,Nassau County,New York,77.3,87.0,72.3,12.9,32.0,27.2,15.9,36.2,6.1,14.7,10.3,14.0,15.5,10.8,29.5,77.3,5.1,2.8,2.9,10.2,5.4,11.6,79.1,66.7
36059414304,Nassau County,New York,76.6,83.3,66.9,16.9,35.9,36.3,14.8,38.0,4.9,22.2,13.2,16.3,16.5,14.1,30.2,75.8,5.6,3.2,3.3,11.0,6.4,17.7,77.0,55.2
36059414400,Nassau County,New York,77.7,85.3,70.1,15.9,35.8,32.8,15.8,39.7,4.4,18.7,11.3,15.8,15.4,12.2,29.2,74.6,4.5,2.9,2.9,10.9,5.2,16.4,77.6,58.5
36059414501,Nassau County,New York,78.0,87.5,75.3,12.0,30.5,24.2,15.9,35.2,6.5,12.7,9.5,13.1,15.4,10.1,29.7,78.2,4.9,2.7,2.8,10.0,5.1,9.7,80.0,70.6
36059414502,Nassau County,New York,76.9,87.9,74.4,12.3,29.5,23.0,16.7,34.3,6.9,11.9,9.4,13.0,15.9,9.4,29.2,77.9,5.1,2.6,2.7,9.8,5.4,9.5,79.5,71.8
36059414600,Nassau County,New York,77.0,88.3,74.5,10.9,26.4,19.6,17.5,31.7,7.1,9.8,8.5,12.4,16.7,8.0,26.7,77.3,4.7,2.3,2.5,9.5,4.9,7.9,78.8,75.6
36059414700,Nassau County,New York,76.7,89.0,75.6,10.1,26.2,18.5,17.6,31.3,7.2,9.0,8.1,12.0,16.5,7.7,26.4,77.5,4.6,2.2,2.5,9.3,4.6,6.9,79.0,77.0
36059414800,Nassau County,New York,75.8,87.8,74.1,12.3,27.8,21.4,17.4,32.9,7.0,10.7,9.0,13.1,17.1,8.5,27.5,77.5,4.9,2.4,2.6,9.6,5.3,8.8,78.6,73.3
36059414900,Nassau County,New York,76.9,88.4,75.2,10.4,26.0,19.6,17.4,31.7,7.2,9.6,8.2,12.2,16.2,7.9,26.6,77.6,4.6,2.3,2.5,9.3,4.6,7.8,79.0,76.1
36059415000,Nassau County,New York,76.7,87.9,73.8,11.3,26.8,20.2,17.3,31.9,6.9,10.4,8.7,13.1,17.2,8.2,26.6,77.0,4.8,2.3,2.5,9.8,5.1,8.4,78.5,74.4
36059415101,Nassau County,New York,76.9,88.6,75.2,10.5,26.8,19.4,16.8,31.5,7.6,9.8,8.7,12.1,16.6,8.5,28.0,78.8,5.0,2.4,2.6,9.5,5.0,7.2,79.9,76.7
36059415102,Nassau County,New York,78.0,89.9,76.7,8.4,25.7,16.5,17.2,30.0,7.3,8.0,7.5,11.2,16.0,7.5,26.3,78.1,4.4,2.1,2.4,9.2,4.1,5.3,79.9,79.8
36059415201,Nassau County,New York,77.5,89.1,76.2,9.5,26.0,18.0,17.1,30.8,7.5,9.0,8.1,11.5,16.1,8.1,27.4,78.6,4.8,2.3,2.5,9.3,4.6,6.2,79.9,78.2
36059415202,Nassau County,New York,78.1,90.1,77.8,8.2,25.1,15.7,17.5,29.6,7.4,7.7,7.3,10.9,15.9,7.3,26.0,78.1,4.3,2.0,2.3,9.1,4.0,5.0,79.9,80.5
36059415300,Nassau County,New York,75.9,88.4,75.3,11.4,26.3,20.6,17.4,31.8,7.2,10.3,8.7,12.7,16.8,8.0,26.7,77.3,4.8,2.4,2.6,9.5,5.1,8.7,78.6,74.5
