FIPS,Tract,County,State,Insurance Coverage,Medicaid Enrollment,Household Income,Annual Labor Force Participation Rate,Annual Unemployment Rate,Below Poverty,Received Public Assistance,Uninsured
36059300100,Census Tract 3001,Nassau County,New York,0.996030996030996,0.10073710073710074,172402.0,0.5347541777670138,0.021739130434782608,0.0,0.0,0.003969003969004015
36059300300,Census Tract 3003,Nassau County,New York,0.9745365199910655,0.23743578289032835,116321.0,0.5163461538461539,0.04283054003724395,0.05803571428571429,0.09001512859304085,0.025463480008934503
36059300400,Census Tract 3004,Nassau County,New York,0.9725049369588333,0.3495366854017925,130897.0,0.603440260344026,0.04930662557781202,0.06756756756756757,0.0743174924165824,0.027495063041166667
36059300500,Census Tract 3005,Nassau County,New York,0.9820388349514563,0.11100323624595469,164219.0,0.5863954505686789,0.02349869451697128,0.07630769230769231,0.0756134201301953,0.017961165048543726
36059300600,Census Tract 3006,Nassau County,New York,0.9745270370922091,0.11842693281692239,151250.0,0.6069788797061524,0.025718608169440244,0.053417576105686385,0.08069286016054077,0.025472962907790886
36059300700,Census Tract 3007,Nassau County,New York,0.9880427942101951,0.15748898678414097,101250.0,0.5962007668177065,0.06664717918737212,0.0163826998689384,0.09342258440046566,0.011957205789804859
36059300800,Census Tract 3008,Nassau County,New York,0.9736274274754255,0.11675857108607049,104844.0,0.6412148736871984,0.04957945993802568,0.05731922398589065,0.04980595084087969,0.026372572524574478
36059300901,Census Tract 3009.01,Nassau County,New York,0.9844497607655502,0.16626794258373206,239000.0,0.5356824264049955,0.030807660283097418,0.01488095238095238,0.05810810810810811,0.015550239234449759
36059300902,Census Tract 3009.02,Nassau County,New York,0.9909677419354839,0.12645161290322582,182401.0,0.5497599301615015,0.018658197697499008,0.014285714285714285,0.06640793445450625,0.00903225806451613
36059301000,Census Tract 3010,Nassau County,New York,0.9986935423665547,0.06532288167226577,228000.0,0.5766138855054811,0.04393747359526827,0.029589778076664425,0.011615628299894404,0.0013064576334452793
36059301101,Census Tract 3011.01,Nassau County,New York,0.9017174195410593,0.14244479722903738,95493.0,0.6546662006291506,0.03310197544046983,0.0698782424563261,0.047267355982274745,0.09828258045894067
36059301102,Census Tract 3011.02,Nassau County,New York,0.9925252525252525,0.04909090909090909,153750.0,0.5987394957983193,0.04078947368421053,0.03131991051454139,0.026159921026653505,0.007474747474747523
36059301200,Census Tract 3012,Nassau County,New York,0.988783570300158,0.0665086887835703,192417.0,0.671735604217356,0.027165710836100213,0.0,0.02206836867157075,0.011216429699842045
36059301300,Census Tract 3013,Nassau County,New York,0.9171182018864138,0.21031507124222357,144468.0,0.6554156171284635,0.027671022290545733,0.04904831625183016,0.07217125382262997,0.0828817981135862
36059301400,Census Tract 3014,Nassau County,New York,0.9867033470884915,0.03163686382393398,227917.0,0.7257653061224489,0.03427065026362039,0.008403361344537815,0.007194244604316547,0.0132966529115085
36059301500,Census Tract 3015,Nassau County,New York,0.9838165879973028,0.04484153742414026,250001.0,0.62136790344211,0.025179856115107913,0.03837209302325582,0.012725344644750796,0.01618341200269724
36059301600,Census Tract 3016,Nassau County,New York,0.9951953206601212,0.031334865260079385,250001.0,0.6561440125228281,0.03180914512922465,0.04081632653061224,0.018703241895261846,0.004804679339878826
36059301700,Census Tract 3017,Nassau County,New York,1.0,0.032234957020057305,250001.0,0.6926147704590818,0.06556195965417867,0.04219948849104859,0.006082725060827251,0.0
36059301800,Census Tract 3018,Nassau County,New York,0.9161066048667439,0.14878331402085748,105714.0,0.5735256896988105,0.009708737864077669,0.08036529680365297,0.15069356872635561,0.08389339513325611
36059301900,Census Tract 3019,Nassau County,New York,0.9758643183300717,0.05283757338551859,215250.0,0.6508355321020228,0.0013513513513513514,0.0,0.012618296529968454,0.0241356816699283
36059302000,Census Tract 3020,Nassau County,New York,0.9826822392267418,0.06403544099879178,125664.0,0.5630158376087442,0.018225039619651346,0.030627871362940276,0.024525682554372975,0.017317760773258195
36059302101,Census Tract 3021.01,Nassau County,New York,0.9897091722595078,0.06040268456375839,250001.0,0.7392277560156687,0.0582891748675246,0.0,0.03760552570990023,0.01029082774049217
36059302102,Census Tract 3021.02,Nassau County,New York,0.9659610983981693,0.04490846681922197,250001.0,0.6634508348794063,0.027404921700223715,0.0,0.008561643835616438,0.03403890160183065
36059302200,Census Tract 3022,Nassau County,New York,0.9753025438379846,0.10397629044208447,189700.0,0.743564025409562,0.046762589928057555,0.030881017257039057,0.045234248788368334,0.024697456162015352
36059302300,Census Tract 3023,Nassau County,New York,0.9729787234042553,0.04893617021276596,199524.0,0.6163021868787276,0.039112903225806454,0.02134986225895317,0.003816793893129771,0.027021276595744714
36059302400,Census Tract 3024,Nassau County,New York,0.9878312070657508,0.0633954857703631,129563.0,0.6458572412210236,0.029850746268656716,0.012686567164179104,0.04863925883034163,0.012168792934249217
36059302501,Census Tract 3025.01,Nassau County,New York,0.971039776692254,0.0732728541521284,221000.0,0.6327944572748267,0.027737226277372264,0.028277634961439587,0.023755656108597284,0.028960223307745947
36059302502,Census Tract 3025.02,Nassau County,New York,0.9550235763511062,0.035183170112441056,250001.0,0.6240828657747087,0.0636237897648686,0.03582554517133956,0.02517162471395881,0.04497642364889376
36059302600,Census Tract 3026,Nassau County,New York,0.9899738448125545,0.09023539668700958,129500.0,0.7293603061782394,0.05172413793103448,0.0,0.045012165450121655,0.01002615518744554
36059302700,Census Tract 3027,Nassau County,New York,0.9471376370280146,0.10182704019488428,170253.0,0.6351727982162765,0.055726195699868364,0.02702702702702703,0.013629842180774749,0.05286236297198543
