FIPS,Tract,County,State,Vacancy Rate,No Vehicle,Single Parent Household,Multi-Unit Structures,Mobile Homes,Owner Occupied Housing,Crowded Housing,Lack Complete Plumbing,Median Home Value,Median Monthly Mortgage,Median Gross Rent,No Home Broadband,Rent Burden (40% Income)
36059300100,Census Tract 3001,Nassau County,New York,0.09225589225589226,0.006015037593984963,0.0712166172106825,0.0,0.0,0.956973293768546,0.037091988130563795,0.0,1995300.0,4001.0,3501.0,0.02997987927565393,0.29310344827586204
36059300300,Census Tract 3003,Nassau County,New York,0.1894543225015328,0.03969883641341547,0.04311649016641452,0.21030042918454936,0.017167381974248927,0.7027231467473525,0.07866868381240545,0.0,1101900.0,4001.0,2287.0,0.08600943184370091,0.5165394402035624
36059300400,Census Tract 3004,Nassau County,New York,0.042130750605326873,0.018402342116269343,0.0429726996966633,0.2261501210653753,0.0,0.7623862487360971,0.06976744186046512,0.0,894600.0,4001.0,1480.0,0.08354853410299257,0.33191489361702126
36059300500,Census Tract 3005,Nassau County,New York,0.10126012601260126,0.019364833462432222,0.06209313970956434,0.22862286228622863,0.0,0.8652979469203805,0.009013520280420632,0.005508262393590386,1409400.0,4001.0,2646.0,0.06197411003236242,0.35315985130111527
36059300600,Census Tract 3006,Nassau County,New York,0.04517950786607503,0.013867002836432399,0.030418250950570342,0.2920532472771279,0.0024203307785397336,0.844106463878327,0.012674271229404309,0.0025348542458808617,1173000.0,4001.0,0.0,0.048915482423335876,0.13008130081300814
36059300700,Census Tract 3007,Nassau County,New York,0.07285483000539665,0.08065552699228792,0.033469150174621654,0.9301133297355639,0.0,0.5753783469150174,0.03783469150174622,0.0,374000.0,1692.0,2252.0,0.07886435331230279,0.36531871144619604
36059300800,Census Tract 3008,Nassau County,New York,0.05616605616605617,0.05868653935724266,0.0407503234152652,0.31074481074481075,0.0,0.8124191461836999,0.016817593790426907,0.01034928848641656,838200.0,2800.0,1684.0,0.06473267801486449,0.5172413793103449
36059300901,Census Tract 3009.01,Nassau County,New York,0.08754623921085081,0.007731958762886598,0.01891891891891892,0.007398273736128237,0.011097410604192354,0.9405405405405406,0.006756756756756757,0.0,1432000.0,4001.0,3352.0,0.031275060144346445,0.25
36059300902,Census Tract 3009.02,Nassau County,New York,0.09836702954898911,0.04064314426083073,0.016386373436826217,0.1368584758942457,0.0,0.827511858559724,0.007330746011211729,0.0,1254200.0,4001.0,3501.0,0.029920089202750466,0.4125
36059301000,Census Tract 3010,Nassau County,New York,0.13238662391204764,0.00936663693131133,0.009503695881731784,0.19789280806229959,0.0,0.9165786694825766,0.0,0.012671594508975714,1458700.0,4001.0,3501.0,0.03154162000746552,0.04430379746835443
36059301101,Census Tract 3011.01,Nassau County,New York,0.05939562348037513,0.03536345776031434,0.052806499261447565,0.09378256339006599,0.0,0.40029542097488924,0.042097488921713444,0.0,649500.0,3436.0,3045.0,0.016485900216919758,0.4938423645320197
36059301102,Census Tract 3011.02,Nassau County,New York,0.016982047549733138,0.0,0.017769002961500493,0.09558466763706938,0.0,0.7285291214215203,0.0,0.0,950600.0,4001.0,2606.0,0.024098825435398985,0.5472727272727272
36059301200,Census Tract 3012,Nassau County,New York,0.05634953042057983,0.027586206896551724,0.02120294244915621,0.21355655369538587,0.0,0.7866724361748161,0.012115967113803548,0.0,972200.0,4001.0,1916.0,0.007136060894386342,0.3975659229208925
36059301300,Census Tract 3013,Nassau County,New York,0.07102272727272728,0.054473161033797214,0.07706422018348624,0.035227272727272725,0.0,0.6140672782874618,0.04036697247706422,0.0,873400.0,4001.0,2033.0,0.018552127445049416,0.37400950871632327
36059301400,Census Tract 3014,Nassau County,New York,0.04532967032967033,0.006628787878787879,0.02877697841726619,0.0,0.0,0.8863309352517985,0.02014388489208633,0.0,964900.0,4001.0,2900.0,0.012379642365887178,0.12658227848101267
36059301500,Census Tract 3015,Nassau County,New York,0.06726013847675569,0.00599250936329588,0.02863202545068929,0.0,0.0,0.95864262990456,0.0,0.0,2000001.0,4001.0,3501.0,0.025623735670937342,0.3076923076923077
36059301600,Census Tract 3016,Nassau County,New York,0.020158827122785584,0.011968633924886504,0.011221945137157107,0.1001832620647526,0.0,0.8796758104738155,0.0,0.0,1929400.0,4001.0,2048.0,0.012187434334944292,0.48704663212435234
36059301700,Census Tract 3017,Nassau County,New York,0.02026221692491061,0.012461059190031152,0.027980535279805353,0.004767580452920143,0.0,0.9793187347931873,0.0,0.0,1866600.0,4001.0,0.0,0.04620343839541552,0.0
36059301800,Census Tract 3018,Nassau County,New York,0.11986681465038845,0.05657835653345308,0.10844892812105927,0.2225305216426193,0.011098779134295227,0.5977301387137453,0.009457755359394703,0.0,976000.0,4001.0,1910.0,0.05275443510737632,0.2601880877742947
36059301900,Census Tract 3019,Nassau County,New York,0.03451776649746193,0.0,0.030494216614090432,0.02030456852791878,0.0,1.0,0.0,0.0,1723000.0,4001.0,0.0,0.0,
36059302000,Census Tract 3020,Nassau County,New York,0.06773080241587576,0.012189995796553174,0.03840814437760296,0.2070750647109577,0.02372735116479724,0.7242017584451643,0.014345210550670985,0.005090236001850995,1078000.0,4001.0,2070.0,0.05585803589433358,0.337248322147651
36059302101,Census Tract 3021.01,Nassau County,New York,0.03908554572271387,0.0,0.006907137375287797,0.0,0.0,0.9439754412893323,0.004604758250191865,0.0,1554500.0,4001.0,0.0,0.010514541387024567,0.1917808219178082
36059302102,Census Tract 3021.02,Nassau County,New York,0.023411371237458192,0.020149683362118594,0.0,0.007525083612040134,0.0,1.0,0.0,0.0,1040500.0,4001.0,0.0,0.025530694205393,
