FIPS,Tract,County,State,PM25,Lead Paint,Diesel PM,Air Toxics Cancer,Air Toxics Resp,Toxics Release to Air,Traffic Proximity,Water Discharge,Superfund Proximity,RMP Proximity,Hazardous Waste Proximity,Ozone,Underground Storage Tanks
36059302000,Census Tract 3020.00,Nassau County,New York,7.93863123287671,0.600773528147829,0.423332371,30.0,0.3,94.98745565976927,221.42694834615384,4.980567862807693,0.9879576292,0.096829544876923,1.383021048453846,72.83249999999998,0.223966915915385
36059302101,Census Tract 3021.01,Nassau County,New York,7.88010465753425,0.538404175988068,0.411810527,20.0,0.3,102.39962904254573,246.41525590307828,3.177655639559693,0.638971924858271,0.114973369973821,0.952432387081923,72.54866,0.827743470431054
36059302102,Census Tract 3021.02,Nassau County,New York,7.85031232876712,0.797262617621899,0.432661185,20.0,0.3,93.34839051832483,829.927317054867,0.623529239833899,0.464222459306169,0.121440890629032,1.030315988913696,71.91439,0.629981429349462
36059302200,Census Tract 3022.00,Nassau County,New York,7.89210684931507,0.625287356321839,0.464314202,30.0,0.3,81.03705770033746,2316.27852612491,4.395447148398248,0.52389345631221,0.103773232315301,1.484266414953632,71.93267,0.177485242854199
36059302300,Census Tract 3023.00,Nassau County,New York,7.86957178082192,0.408150470219435,0.459479943,30.0,0.3,90.08197812918121,753.6091523878272,2.623694680334655,0.378069497167922,0.096421193374504,2.667826587294013,71.24916,0.0
36059302400,Census Tract 3024.00,Nassau County,New York,7.85515917808219,0.710716268739589,0.447889347,20.0,0.3,82.0331122648659,281.91333109681995,3.9167131169e-05,0.475302217926628,0.106464094127778,3.064311402102108,71.35,0.373956960899234
36059302501,Census Tract 3025.01,Nassau County,New York,7.80942520547945,0.525287356321839,0.459579582,20.0,0.3,90.32403415404188,546.5725009424084,3.9565568796e-05,0.412172890926702,0.121269158898429,3.046623616157068,71.34546,0.0
36059302502,Census Tract 3025.02,Nassau County,New York,7.75705287671233,0.388830347734457,0.406224534,20.0,0.3,120.96986149110631,544.7821543222343,0.001459630285249,0.319103411623644,0.167248618005423,1.393047325020607,71.39773,0.515178442110629
36059302600,Census Tract 3026.00,Nassau County,New York,7.85958301369863,0.88120950323974,0.585160132,30.0,0.4,124.63000115720524,151.10562120043667,1.693621679568083,0.624735161963875,0.069580572065502,2.019543167920603,69.45962,5.086666576458912
36059302700,Census Tract 3027.00,Nassau County,New York,7.87756876712329,0.894517696044413,0.566328188,30.0,0.4,125.05781855895924,171.59914362630087,3.37630482272654,0.647171653305247,0.072714625181798,3.106500254302416,69.81006,12.770400016849552
36059302800,Census Tract 3028.00,Nassau County,New York,7.88548712328767,0.904711487559555,0.525713806,30.0,0.4,125.18346238486454,209.97536960258816,3.273893498131148,0.676539044998486,0.076621639774633,3.577778279508249,70.1957,5.25001690142122
36059302900,Census Tract 3029.00,Nassau County,New York,7.84034438356164,0.919946631087391,0.459372308,30.0,0.3,125.26813390673098,226.15326185748256,1.301107255133184,0.817101248604442,0.081934663415526,2.996657499084137,70.18189,0.745380055425623
36059303000,Census Tract 3030.00,Nassau County,New York,7.81895205479452,0.823463687150838,0.462253598,30.0,0.3,125.2411440960086,330.8027969392846,4.4700832776e-05,0.867835170411891,0.077237872535773,2.444794255603346,69.74839,0.438040344930275
36059303101,Census Tract 3031.01,Nassau County,New York,7.89511232876712,0.407155025553662,0.499762449,30.0,0.4,123.91069190709784,208.9810316649904,4.936187158705124,0.506521935483146,0.083248914459852,3.205156559461496,70.6604,0.265043364397917
