FIPS,County,State,pctBB_1000_10,pctBB_100_20,pct5G_7_1,pct5G_35_3,LILATracts_Vehicle
36059,Nassau County,New York,0.7398,1.0,0.9481,0.9058,0.006927103770556131
36103,Suffolk County,New York,0.6136,1.0,0.8602,0.6771,0.025343953656770456
